Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Adaptive AI-enhanced computation offloading with machine learning for QoE optimization and energy-efficient mobile edge systems,Scientific Reports,,,,10.1038/s41598-025-00409-4,Dinesh Kumar NishadVandna Rani VermaPushkar RajputSandeep GuptaAnurag DwivediDharti Raj Shah,2025,https://link.springer.com/article/10.1038/s41598-025-00409-4,Article
From prediction to parity: a quantitative analysis of algorithmic fairness in higher education,AI and Ethics,,,,10.1007/s43681-025-00888-1,Adnan AkbarSyed Sameed Husain,2025,https://link.springer.com/article/10.1007/s43681-025-00888-1,Article
A comprehensive evaluation system for physical education teaching effectiveness supported by multimodal machine learning,Discover Artificial Intelligence,,,,10.1007/s44163-025-00765-0,Yanqing Zhang,2025,https://link.springer.com/article/10.1007/s44163-025-00765-0,Article
Evaluating AI competency in project management: benefits and challenges,AI & SOCIETY,,,,10.1007/s00146-025-02730-y,Omobolanle OlatoyeEfenwengbe Nicholas Aminaho,2025,https://link.springer.com/article/10.1007/s00146-025-02730-y,Article
"A Comprehensive Review of Bias in AI, ML, and DL Models: Methods, Impacts, and Future Directions",Archives of Computational Methods in Engineering,,,,10.1007/s11831-025-10483-6,Ankur KumarSanjay DhankaAbhinav SharmaAnchal SharmaMonika NainPrashant KumarAtma Ram GuptaJyoti BansalNitin Kumar SaxenaRuby Pant,2025,https://link.springer.com/article/10.1007/s11831-025-10483-6,Article
"Advancing tourism sentiment analysis: a comparative evaluation of traditional machine learning, deep learning, and transformer models on imbalanced datasets",Information Technology & Tourism,,,,10.1007/s40558-025-00336-0,Sawitree SriananAziz NanthaamornphongChayanon Phucharoen,2025,https://link.springer.com/article/10.1007/s40558-025-00336-0,Article
AI-driven job scheduling in cloud computing: a comprehensive review,Artificial Intelligence Review,,,,10.1007/s10462-025-11208-8,Yousef SanjalaweSalam Al-E’mariSalam FraihatSharif Makhadmeh,2025,https://link.springer.com/article/10.1007/s10462-025-11208-8,Article
Bridging finance and AI: a comprehensive survey of large language models in financial system,Digital Finance,,,,10.1007/s42521-025-00146-3,Ameer Tamoor KhanShuai LiXinwei Cao,2025,https://link.springer.com/article/10.1007/s42521-025-00146-3,Article
LQE-DT: a machine learning approach to proactive link quality prediction in IoT networks,Cluster Computing,,,,10.1007/s10586-025-05231-1,Safia GulBilal Ahmad MalikM. Tariq BandayZahrah Ayub,2025,https://link.springer.com/article/10.1007/s10586-025-05231-1,Article
AI-driven value management in construction: a theoretically-grounded framework with empirical validation,Journal of Umm Al-Qura University for Engineering and Architecture,,,,10.1007/s43995-025-00203-3,Ehab A. MlybariHamdy A. Elgohary,2025,https://link.springer.com/article/10.1007/s43995-025-00203-3,Article
GraphXAI: a survey of graph neural networks (GNNs) for explainable AI (XAI),Neural Computing and Applications,,,,10.1007/s00521-025-11054-3,Mauparna NandanSoma MitraDebashis De,2025,https://link.springer.com/article/10.1007/s00521-025-11054-3,Article
Carbon efficient quantum AI: an empirical study of ansätz design trade-offs in QNN and QLSTM models,Scientific Reports,,,,10.1038/s41598-025-28582-6,Sarvapriya TripathiHimanshu UpadhyayJayesh Soni,2025,https://link.springer.com/article/10.1038/s41598-025-28582-6,Article
"Artificial intelligence–driven kidney organ allocation: systematic review of clinical outcome prediction, ethical frameworks, and decision-making algorithms",BMC Nephrology,,,,10.1186/s12882-025-04576-4,Faezeh FiruzpourAbazar Akbarzadeh PashaFarshid OliaeiKhatereh NasirimehrMohammadreza KhosraviGhasem RostamiHamid Reza Saeidnia,2025,https://link.springer.com/article/10.1186/s12882-025-04576-4,Article
Generative AI and collaboration: opportunities for cultivating collective intelligence,Journal of Organization Design,,,,10.1007/s41469-025-00199-z,Anita Williams Woolley,2025,https://link.springer.com/article/10.1007/s41469-025-00199-z,Article
"How mature is requirements engineering for AI-based systems? A systematic mapping study on practices, challenges, and future research directions",Requirements Engineering,,,,10.1007/s00766-024-00432-3,Umm-e- HabibaMarkus HaugJustus BognerStefan Wagner,2024,https://link.springer.com/article/10.1007/s00766-024-00432-3,Article
