log_type,id,source_or_stage,source_url,search_phrase,query_verbatim,run_date,date_range,count,study_id,study,citation,year,domain,evidence_file,notes
SearchRun,SR01,IEEE Xplore,https://ieeexplore.ieee.org/,Fairness requirements / fairness operationalization in AI-based systems,Query set Q01; Q02; Q03; Q04; Q05; Q06; Q07; Q08; Q09; Q10; Q11; Q12; Q13; Q14; Q15; Q16; Q17; Q18; Q19; Q20; full strings in Fairness_RE_SLR_Search_Query_Set.csv,11/17/2025,1996-2025,110,,,,,,raw/search_screenshots/IEEE Xplore.zip,IEEE Xplore database screenshots attached by authors; peer-reviewed source; source-level retrieved count reported in manuscript/source summary.
SearchRun,SR02,ACM Digital Library,https://dl.acm.org/,Fairness requirements / fairness operationalization in AI-based systems,Query set Q01; Q02; Q03; Q04; Q05; Q06; Q07; Q08; Q09; Q10; Q11; Q12; Q13; Q14; Q15; Q16; Q17; Q18; Q19; Q20; full strings in Fairness_RE_SLR_Search_Query_Set.csv,11/17/2025,1996-2025,634,,,,,,raw/search_screenshots/ACM.zip,ACM Digital Library screenshots attached by authors; source-level retrieved count reported in manuscript/source summary.
SearchRun,SR03,SpringerLink,https://link.springer.com/,Fairness requirements / fairness operationalization in AI-based systems,Query set Q01; Q02; Q03; Q04; Q05; Q06; Q07; Q08; Q09; Q10; Q11; Q12; Q13; Q14; Q15; Q16; Q17; Q18; Q19; Q20; full strings in Fairness_RE_SLR_Search_Query_Set.csv,11/17/2025,1996-2025,773,,,,,,raw/search_screenshots/SpringerLink.zip,SpringerLink count included in manuscript/source summary; SpringerLink screenshots attached; source-level retrieved count reported in manuscript/source summary.
SearchRun,SR04,ScienceDirect,https://www.sciencedirect.com/,Fairness requirements / fairness operationalization in AI-based systems,Query set Q01; Q02; Q03; Q04; Q05; Q06; Q07; Q08; Q09; Q10; Q11; Q12; Q13; Q14; Q15; Q16; Q17; Q18; Q19; Q20; full strings in Fairness_RE_SLR_Search_Query_Set.csv,11/17/2025,1996-2025,1088,,,,,,raw/search_screenshots/SciencDirect.zip,ScienceDirect screenshots attached by authors; source-level retrieved count reported in manuscript/source summary.
SearchRun,SR05,Google Scholar,https://scholar.google.com/,Fairness requirements / fairness operationalization in AI-based systems,Query set Q01; Q02; Q03; Q04; Q05; Q06; Q07; Q08; Q09; Q10; Q11; Q12; Q13; Q14; Q15; Q16; Q17; Q18; Q19; Q20; full strings in Fairness_RE_SLR_Search_Query_Set.csv,11/17/2025,1996-2025,1405,,,,,,raw/search_screenshots/Google Scholar.zip,Google Scholar used as supplementary recall-oriented source; screenshots attached by authors; source-level retrieved count reported in manuscript/source summary.
ScreeningStage,S01,Initial database retrieval,,,,,,4010,,,,,,,All records retrieved across database/source runs before cross-source deduplication and eligibility screening. Search-run evidence and source-summary counts.
ScreeningStage,S02,After deduplication and <4-page exclusion,,,,,,2406,,,,,,,Records remaining after duplicate removal and exclusion of records under four pages/short papers where insufficient details were available for consistent coding. Boundary decision requested by reviewers; retained for audit trail.
ScreeningStage,S03,Title/abstract screening,,,,,,802,,,,,,,Records retained after title and abstract screening against inclusion/exclusion criteria. Screening stage used to remove clearly out-of-scope items.
ScreeningStage,S04,Introduction/conclusion screening,,,,,,267,,,,,,,Records retained after inspection of introduction and conclusion for fairness/AI/requirements relevance. Intermediate screening before full-text assessment.
ScreeningStage,S05,Full-text assessment,,,,,,137,,,,,,,Records assessed at full-text level and retained for quality assessment/coding eligibility checks. Full-text assessment stage before final corpus.
ScreeningStage,S06,Final primary studies,,,,,,107,,,,,,,Final peer-reviewed primary studies included in the analytical corpus. Final corpus used in manuscript analyses and RQ-level tables/figures.
