query_id,search_phrase,query_verbatim,date_range,applied_to_sources,notes
Q01,Fairness definitions and conceptualizations,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""AI systems"" OR ""social domains"")",1996-2025,IEEE Xplore; ACM Digital Library; SpringerLink; ScienceDirect; Google Scholar,Adapt syntax to each database search interface; screenshots in raw/search_screenshots document representative database runs.
Q02,Fairness representation/formalization,"(""fairness representation"" OR ""fairness formalization"") AND (""algorithmic fairness"" OR ""AI"" OR ""social domains"")",1996-2025,IEEE Xplore; ACM Digital Library; SpringerLink; ScienceDirect; Google Scholar,Adapt syntax to each database search interface; screenshots in raw/search_screenshots document representative database runs.
Q03,Fairness implementation/operationalization,"(""fairness implementation"" OR ""fairness operationalization"") AND (""social domains"" OR ""AI systems"" OR ""machine learning"")",1996-2025,IEEE Xplore; ACM Digital Library; SpringerLink; ScienceDirect; Google Scholar,Adapt syntax to each database search interface; screenshots in raw/search_screenshots document representative database runs.
Q04,Formal fairness metrics,"(""fairness metrics"") AND (""statistical parity"" OR ""equalized odds"" OR ""disparate impact"" OR ""equal opportunity"")",1996-2025,IEEE Xplore; ACM Digital Library; SpringerLink; ScienceDirect; Google Scholar,Adapt syntax to each database search interface; screenshots in raw/search_screenshots document representative database runs.
Q05,Causal and counterfactual fairness,"(""causal fairness"" OR ""counterfactual fairness"") AND (""AI systems"" OR ""machine learning"")",1996-2025,IEEE Xplore; ACM Digital Library; SpringerLink; ScienceDirect; Google Scholar,Adapt syntax to each database search interface; screenshots in raw/search_screenshots document representative database runs.
Q06,Group and individual fairness,"(""group fairness"" OR ""individual fairness"") AND (""machine learning"" OR ""AI"")",1996-2025,IEEE Xplore; ACM Digital Library; SpringerLink; ScienceDirect; Google Scholar,Adapt syntax to each database search interface; screenshots in raw/search_screenshots document representative database runs.
Q07,Fairness and social context,"(""fairness"") AND (""social context"") AND (""AI"" OR ""algorithms"")",1996-2025,IEEE Xplore; ACM Digital Library; SpringerLink; ScienceDirect; Google Scholar,Adapt syntax to each database search interface; screenshots in raw/search_screenshots document representative database runs.
Q08,Fairness auditing/testing and deployment,"(""fairness auditing"" OR ""fairness testing"") AND (""implementation"" OR ""deployment"")",1996-2025,IEEE Xplore; ACM Digital Library; SpringerLink; ScienceDirect; Google Scholar,Adapt syntax to each database search interface; screenshots in raw/search_screenshots document representative database runs.
Q09,Fairness requirements/specifications,"(""fairness requirements"" OR ""fairness specifications"") AND (""requirements engineering"" OR ""software engineering"")",1996-2025,IEEE Xplore; ACM Digital Library; SpringerLink; ScienceDirect; Google Scholar,Adapt syntax to each database search interface; screenshots in raw/search_screenshots document representative database runs.
Q10,Stakeholder and requirements elicitation,"(""stakeholder elicitation"" OR ""requirements elicitation"") AND (""fairness"")",1996-2025,IEEE Xplore; ACM Digital Library; SpringerLink; ScienceDirect; Google Scholar,Adapt syntax to each database search interface; screenshots in raw/search_screenshots document representative database runs.
Q11,Fairness evaluation/validation in lifecycle,"(""fairness evaluation"" OR ""fairness validation"") AND (""software lifecycle"" OR ""development lifecycle"" OR ""AI lifecycle"")",1996-2025,IEEE Xplore; ACM Digital Library; SpringerLink; ScienceDirect; Google Scholar,Adapt syntax to each database search interface; screenshots in raw/search_screenshots document representative database runs.
Q12,Fairness criteria/metric selection,"(""fairness metrics"" OR ""fairness criteria"") AND (""selection"" OR ""evaluation"" OR ""trade-off"")",1996-2025,IEEE Xplore; ACM Digital Library; SpringerLink; ScienceDirect; Google Scholar,Adapt syntax to each database search interface; screenshots in raw/search_screenshots document representative database runs.
Q13,Fairness trade-offs/constraint management,"(""trade-off analysis"" OR ""constraint management"") AND (""fairness"") AND (""machine learning"" OR ""AI"")",1996-2025,IEEE Xplore; ACM Digital Library; SpringerLink; ScienceDirect; Google Scholar,Adapt syntax to each database search interface; screenshots in raw/search_screenshots document representative database runs.
Q14,Bias mitigation lifecycle stages,"(""fairness"" OR ""bias mitigation"") AND (""pre-processing"" OR ""in-processing"" OR ""post-processing"")",1996-2025,IEEE Xplore; ACM Digital Library; SpringerLink; ScienceDirect; Google Scholar,Adapt syntax to each database search interface; screenshots in raw/search_screenshots document representative database runs.
Q15,Practitioner/system-designer fairness methods,"(""fairness"") AND (""system designers"" OR ""ML practitioners"") AND (""methods"" OR ""practices"")",1996-2025,IEEE Xplore; ACM Digital Library; SpringerLink; ScienceDirect; Google Scholar,Adapt syntax to each database search interface; screenshots in raw/search_screenshots document representative database runs.
Q16,Fairness research gaps/challenges,"(""fairness research gaps"" OR ""fairness challenges"") AND (""AI"" OR ""machine learning"")",1996-2025,IEEE Xplore; ACM Digital Library; SpringerLink; ScienceDirect; Google Scholar,Adapt syntax to each database search interface; screenshots in raw/search_screenshots document representative database runs.
Q17,Continuous monitoring/feedback,"(""continuous monitoring"" OR ""continuous feedback"") AND (""fairness"") AND (""AI"" OR ""machine learning"" OR ""deployed systems"")",1996-2025,IEEE Xplore; ACM Digital Library; SpringerLink; ScienceDirect; Google Scholar,Adapt syntax to each database search interface; screenshots in raw/search_screenshots document representative database runs.
Q18,Fairness maintenance/sustainability,"(""fairness maintenance"" OR ""fairness sustainability"") AND (""deployed systems"" OR ""AI lifecycle"")",1996-2025,IEEE Xplore; ACM Digital Library; SpringerLink; ScienceDirect; Google Scholar,Adapt syntax to each database search interface; screenshots in raw/search_screenshots document representative database runs.
Q19,Fairness drift/model decay,"(""fairness drift"" OR ""model decay"") AND (""monitoring"" OR ""feedback loops"")",1996-2025,IEEE Xplore; ACM Digital Library; SpringerLink; ScienceDirect; Google Scholar,Adapt syntax to each database search interface; screenshots in raw/search_screenshots document representative database runs.
Q20,Future directions/research agenda,"(""fairness"") AND (""future directions"" OR ""research agenda"") AND (""AI"" OR ""machine learning"")",1996-2025,IEEE Xplore; ACM Digital Library; SpringerLink; ScienceDirect; Google Scholar,Adapt syntax to each database search interface; screenshots in raw/search_screenshots document representative database runs.
