Study ID,Study,Citation,Year,Domain,System Type,Deployment Status,Venue Type,QA score,QA pass,ENV content,DES content,SOC content,Elicitation present,Specification present,Operationalization present,Validation/testing present,Monitoring present,Revision present,Spec explicitness/testability,Fairness notions,Failure modes,Gap summary (1 sentence)
P001,P001 - Pedreschi2008,Pedreschi2008,2008,Lending,Decision support,Conceptual,Conference,7,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Contextual/legal compliance, Other, Procedural fairness","Drift not addressed, No revision process/ownership, Other","Provides a formal, testable operationalization of discrimination in rule-based data mining (??/strong ??-protection) including proxy-based redlining via background knowledge, but does not cover deployment-time monitoring or revision of fairness requirements over time."
P002,P002 - Finkelstein2008,Finkelstein2008,2008,General,Decision support,Prototype,Conference,7.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Other, Procedural fairness","Drift not addressed, No revision process/ownership, No thresholds / acceptance criteria, Other","Analyzes fairness as multi-stakeholder trade-offs in requirements assignment using multi-objective optimisation and empirical validation, but does not define monitoring or revision mechanisms to keep fairness criteria valid over time."
P003,P003 - Torralba2011,Torralba2011,2008,General,Decision support,Prototype,Conference,7.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Other, Procedural fairness","Drift not addressed, No revision process/ownership, No thresholds / acceptance criteria, Other","Analyzes fairness as multi-stakeholder trade-offs in requirements assignment using multi-objective optimisation and empirical validation, but does not define monitoring or revision mechanisms to keep fairness criteria valid over time."
P004,P004 - Dwork2012,Dwork2012,2012,General,Classification,Conceptual,Conference,9,Pass,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Explicit + testable,"Contextual/legal compliance, Individual consistency, Other, Outcome parity, Procedural fairness","Drift not addressed, No revision process/ownership, No thresholds / acceptance criteria, Other","Provides a precise, testable formalization of individual fairness (task-specific metric + Lipschitz constraint) and connects it to group parity and privacy, but does not specify deployment-time monitoring or a concrete revision process to maintain fairness as contexts and norms evolve."
P005,P005 - Kamiran2012,Kamiran2012,2012,General,Classification,Prototype,Journal,9.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Contextual/legal compliance, Other, Outcome parity","Drift not addressed, No revision process/ownership, No thresholds / acceptance criteria, Other","Provides a rigorous, testable operationalization of non-discrimination for binary sensitive attributes and effective preprocessing techniques with empirical evaluation, but does not define deployment-time monitoring or revision mechanisms to maintain non-discrimination under drift or changing contexts."
P006,P006 - Kamishima2012,Kamishima2012,2012,General,Classification,Prototype,Conference,9.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Contextual/legal compliance, Other, Outcome parity, Procedural fairness","Drift not addressed, No revision process/ownership, No thresholds / acceptance criteria, Other","Provides a precise, testable operationalization of unfairness as statistical dependence (PI/NPI) and an efficient regularization mechanism to reduce indirect discrimination with evaluated accuracy?€?fairness trade-offs, but does not address deployment-time monitoring or revision to maintain fairness under drift or changing contexts."
P007,P007 - Sweeney2013,Sweeney2013,2013,Hiring,Decision support,Deployed,Conference,9,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Contextual/legal compliance, Other, Outcome parity, Procedural fairness","Drift not addressed, No revision process/ownership, Other","Provides a concrete, legally grounded, testable operationalization of disparate impact in ad delivery (80% rule + statistical tests) and proposes embedding it into ad exchange scoring, but does not specify ongoing monitoring/revision processes to maintain fairness as ads, user behavior, and platforms evolve."
P008,P008 - Zemel2013,Zemel2013,2013,General,Classification,Prototype,Conference,9.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Individual consistency, Other, Outcome parity","Drift not addressed, No revision process/ownership, No thresholds / acceptance criteria, Other","Provides an explicit, testable operationalization of fair representations that obfuscate protected membership while preserving predictive information and supports accuracy?€?fairness trade-offs via optimization, but does not specify acceptance thresholds or post-deployment monitoring/revision mechanisms to maintain fairness over time."
P009,P009 - Feldman2015,Feldman2015,2015,Hiring,Decision support,Prototype,Conference,9.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Contextual/legal compliance, Other, Outcome parity","Drift not addressed, Governance absent, No revision process/ownership, Other","Provides legally grounded, explicit and testable disparate-impact requirements (t=0.8) plus certification and data-repair procedures with quantified fairness?€?utility trade-offs, but does not specify ongoing monitoring or revision mechanisms to keep fairness requirements valid over time."
P010,P010 - Hardt2016,Hardt2016,2016,Lending,Classification,Prototype,Conference,10,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Contextual/legal compliance, Error parity, Other, Outcome parity","Drift not addressed, Governance absent, No revision process/ownership, Other","Provides explicit, testable fairness requirements (equalized odds/opportunity) and efficient post-processing procedures (including randomized thresholds) to satisfy them with quantified utility trade-offs, but does not address continuous monitoring or revision to maintain these requirements under shifting data and outcomes over time."
P011,P011 - Zhang2016Causal,Zhang2016Causal,2016,Lending,Decision support,Prototype,Preprint,9.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Contextual/legal compliance, Other, Procedural fairness","Drift not addressed, Governance absent, No revision process/ownership, Other","Provides an explicit, legally grounded causal specification of direct and indirect discrimination (path-specific effects with threshold ??) and a data repair method that prevents discrimination in downstream model predictions, but does not define monitoring or revision processes to maintain these guarantees as data and causal structure evolve over time."
P012,P012 - GrgicHlaca2016,GrgicHlaca2016,2016,Policing,Classification,Prototype,Workshop,9.5,Pass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Other, Outcome parity, Procedural fairness","Drift not addressed, Governance absent, No revision process/ownership, No thresholds / acceptance criteria, Other","Provides explicit, testable process-fairness requirements grounded in stakeholder judgments for feature selection and quantifies trade-offs with outcome fairness and accuracy on COMPAS, but lacks acceptance thresholds and does not address monitoring or revision to keep process fairness valid as norms and data shift over time."
P013,P013 - BarocasSelbst2016,BarocasSelbst2016,2016,Hiring,Decision support,Conceptual,Journal,9,Pass,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Explicit not testable,"Contextual/legal compliance, Other, Procedural fairness","Governance absent, Missing context assumptions, No revision process/ownership, Other","Provides a legally grounded taxonomy linking data-mining pipeline choices to disparate impact risks and doctrinal criteria (including the EEOC four-fifths guideline and business necessity analysis), but offers no concrete, testable engineering acceptance criteria or lifecycle monitoring/revision mechanisms to maintain fairness over time."
P014,P014 - Zafar2017a,Zafar2017a,2017,General,Classification,Prototype,Conference,9.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Contextual/legal compliance, Other, Outcome parity","Drift not addressed, Governance absent, No revision process/ownership, Other","Provides explicit, testable fairness requirements (p%-rule and covariance proxy) and convex training procedures that encode disparate impact and business necessity as optimization constraints, but does not address post-deployment monitoring or revision to maintain these constraints under drift or changing norms."
P015,P015 - Zafar2017b,Zafar2017b,2017,Policing,Classification,Prototype,Conference,9.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Contextual/legal compliance, Error parity, Other","Drift not addressed, Governance absent, No revision process/ownership, Other","Provides explicit, testable fairness requirements based on equalizing misclassification rates (disparate mistreatment) and a training-time constraint mechanism (DCCP with covariance threshold c) validated on synthetic and COMPAS data, but does not address post-deployment monitoring or revision to maintain error-rate parity under drift or changing contexts."
P016,P016 - Zafar2017c,Zafar2017c,2017,Policing,Classification,Prototype,Conference,9.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Contextual/legal compliance, Other, Outcome parity","Drift not addressed, Governance absent, No revision process/ownership, Other","Provides explicit, testable preference-based fairness requirements (preferred treatment and preferred impact) that operationalize fairness as group-level ?€?no-regret?€? benefit comparisons and implement them via DCCP-constrained margin-based classifiers validated on synthetic and real datasets, but does not address post-deployment monitoring or revision to maintain these preferences under drift or changing contexts."
P017,P017 - GrgicHlaca2017Randomness,GrgicHlaca2017Randomness,2017,Policing,Classification,Conceptual,Preprint,9,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Other, Outcome parity, Procedural fairness","Drift not addressed, Governance absent, No revision process/ownership, Other","Shows that randomness via classifier ensembles can preserve or even improve standard parity-based fairness and accuracy?€?fairness trade-offs and motivates distributional (intra-group) fairness requirements, but provides no lifecycle monitoring or revision mechanisms to maintain these fairness properties under drift or changing contexts."
P018,P018 - CorbettDavies2017,CorbettDavies2017,2017,Policing,Decision support,Prototype,Conference,10,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Contextual/legal compliance, Error parity, Other, Outcome parity","Drift not addressed, Governance absent, No revision process/ownership, Other","Provides explicit, testable formulations of common fairness constraints and proves utility-optimal (often race-specific) threshold decision rules, empirically quantifying substantial public-safety trade-offs on Broward County data, but does not address post-deployment monitoring or revision of fairness requirements under shifting data or governance contexts."
P019,P019 - Galhotra2017,Galhotra2017,2017,General,Decision support,Prototype,Conference,9,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Individual consistency, Other, Outcome parity, Procedural fairness","Drift not addressed, Governance absent, No revision process/ownership, Other","Provides explicit, testable fairness/discrimination specifications and an automated fairness testing method (Themis) that quantifies causal and group discrimination (including in subdomains) across many software instances, but focuses on pre-deployment testing and does not define post-deployment monitoring or revision governance."
